datetime,meter_id,meter_reading,watts,kwh 
4/30/2024 7:30:00 AM,179101928,20842.05,83368200.0,20842.05
4/30/2024 7:45:00 AM,179101928,21643.32,86573280.0,21643.32
4/30/2024 8:00:00 AM,179101928,8883.63,35534520.0,8883.63
4/30/2024 8:15:00 AM,179101928,9741.83,38967320.0,9741.83
4/30/2024 8:30:00 AM,179101928,8867.43,35469720.0,8867.43
4/30/2024 8:45:00 AM,179101928,9230.48,36921920.0,9230.48
4/30/2024 9:00:00 AM,179101928,22269.11,89076440.0,22269.11
4/30/2024 9:15:00 AM,179101928,21949.06,87796240.0,21949.06
4/30/2024 9:30:00 AM,179101928,23853.41,95413640.0,23853.41
4/30/2024 9:45:00 AM,179101928,23625.04,94500160.0,23625.04
4/30/2024 10:00:00 AM,179101928,29439.07,117756280.0,29439.07
4/30/2024 10:15:00 AM,179101928,14044.75,56179000.0,14044.75
4/30/2024 10:30:00 AM,179101928,29161.36,116645440.0,29161.36
4/30/2024 10:45:00 AM,179101928,29414.13,117656520.0,29414.13
4/30/2024 11:00:00 AM,179101928,29477.88,117911520.0,29477.88
4/30/2024 11:15:00 AM,179101928,29210.21,116840840.0,29210.21
4/30/2024 11:30:00 AM,179101928,27829.75,111319000.0,27829.75
4/30/2024 11:45:00 AM,179101928,13943.91,55775640.0,13943.91
4/30/2024 12:00:00 PM,179101928,26511.73,106046920.0,26511.73
4/30/2024 12:15:00 AM,179102121,,,
4/30/2024 12:30:00 AM,179102121,,,
4/30/2024 12:45:00 AM,179102121,,,
4/30/2024 1:00:00 AM,179102121,,,
4/30/2024 1:15:00 AM,179102121,,,
4/30/2024 1:30:00 AM,179102121,,,
4/30/2024 1:45:00 AM,179102121,,,
4/30/2024 2:00:00 AM,179102121,,,
4/30/2024 2:15:00 AM,179102121,,,
4/30/2024 2:30:00 AM,179102121,,,
4/30/2024 2:45:00 AM,179102121,,,
4/30/2024 3:00:00 AM,179102121,,,
4/30/2024 3:15:00 AM,179102121,,,
4/30/2024 3:30:00 AM,179102121,,,
4/30/2024 3:45:00 AM,179102121,,,
